reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto,day_of_week,day_of_month,month,is_weekend,is_month_start,is_month_end,pin_prefix,is_metro,state_clean,pin_rto_rate,pin_order_count,state_rto_rate,state_order_count,price_per_unit,discount_amount,discount_pct,shipping_to_price_ratio,price_category,has_valid_pincode,has_state,address_quality_score,product_rto_rate,product_order_count,product_length,pincode,dtdc_total_shipments,dtdc_failed_shipments,dtdc_failure_rate,dtdc_avg_delivery_days,dtdc_delivery_success_rate,dtdc_avg_address_quality,dtdc_avg_has_building,dtdc_avg_has_pincode,dtdc_avg_has_landmark,dtdc_avg_address_length,state,dtdc_state_shipments,dtdc_state_rto_rate,dtdc_state_avg_days,combined_pin_rto_rate,address_quality_delta,delivery_difficulty_score
DELIVERED,313945993871_1,2022-08-25,Rajasthan,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414.0,414.0,Delivered,324002,Rajasthan,23.48,493,0,493,2022-08-25,0.0,3,25,8,0,0,1,324,0,Rajasthan,0.0,1,0.4,5,493.0,0,0.0,0.0,medium,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Rajasthan,1358.0,0.617820324005891,2.905743740795287,0.0,1.0,1.0
DELIVERED,740854251861_1,2022-08-27,Chhattisgarh,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1344.0,Delivered,490026,Chhattisgarh,64.0,1344,110,1438,2022-08-27,0.0,5,27,8,1,0,1,490,0,Chhattisgarh,0.0,1,0.0,3,1438.0,-94,0.0,0.07649513212795549,premium,1,1,1.0,0.36363636363636365,11,62,,,,,,,,,,,,Chhattisgarh,1387.0,0.6135544340302812,2.9279019466474403,0.0,1.0,1.0
DELIVERED,315389638702_1,2022-08-14,Tamil Nadu,Kurta Sets ,45678,XXL,1,500.0,500.0,Delivered,620008,Tamil Nadu,27.68,581,0,581,2022-08-14,0.0,6,14,8,1,0,0,620,0,Tamil Nadu,0.0,1,0.5,10,581.0,0,0.0,0.0,high,1,1,1.0,0.16666666666666666,6,11,,,,,,,,,,,,Tamil Nadu,2635.0,0.6227703984819735,3.031499051233397,0.0,1.0,1.0
DELIVERED,747803875668_1,2022-08-12,West Bengal, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,700030,West Bengal,64.3,1350,114,1464,2022-08-12,1.0,4,12,8,0,0,0,700,1,West Bengal,1.0,1,0.5555555555555556,9,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,West Bengal,1352.0,0.5998520710059172,2.9903846153846154,0.5,1.0,1.0
DELIVERED,507323371165_1,2022-08-31,Karnataka,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949.0,1949.0,Shipped,560005,Karnataka,100.3,2106,0,2106,2022-08-31,0.0,2,31,8,0,0,1,560,1,Karnataka,0.0,1,0.0,5,2106.0,0,0.0,0.0,premium,1,1,1.0,0.3333333333333333,3,62,,,,,,,,,,,,Karnataka,1393.0,0.5793251974156497,3.0078966259870783,0.0,1.0,1.0
DELIVERED,572323669372_1,2022-08-08,West Bengal, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,742102,West Bengal,64.3,1350,114,1464,2022-08-08,1.0,0,8,8,0,0,0,742,0,West Bengal,1.0,1,0.5555555555555556,9,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,West Bengal,1352.0,0.5998520710059172,2.9903846153846154,0.5,1.0,1.0
RTO_COMPLETE,120234205854_1,2022-08-25,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,671533,Kerala,24.2,508,0,508,2022-08-25,0.0,3,25,8,0,0,1,671,0,Kerala,0.0,1,0.5,8,508.0,0,0.0,0.0,high,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Kerala,2810.0,0.6071174377224199,3.0188612099644128,0.0,1.0,1.0
DELIVERED,173534645547_1,2022-08-04,Madhya Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Delivered,452002,Madhya Pradesh,64.3,1350,108,1458,2022-08-04,0.0,3,4,8,0,1,0,452,0,Madhya Pradesh,0.5,2,0.5,6,1458.0,-108,0.0,0.07407407407407407,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Madhya Pradesh,2743.0,0.5956981407218374,2.989427633977397,0.25,1.0,1.0
DELIVERED,498649084066_1,2022-08-26,Kerala, Georgette Silk Saree With Complete Heavy Sequence N Coding Multi Work N Banglori Silk Blouse,1265610464,Free Size,1,1500.0,1500.0,Return,670604,Kerala,71.44,1500,114,1614,2022-08-26,1.0,4,26,8,0,0,1,670,0,Kerala,1.0,1,0.5,8,1614.0,-114,0.0,0.07063197026022305,premium,1,1,1.0,1.0,1,93,,,,,,,,,,,,Kerala,2810.0,0.6071174377224199,3.0188612099644128,0.5,1.0,1.0
RTO_COMPLETE,485706928032_1,2022-08-26,Andhra Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414.0,414.0,Shipped,517520,Andhra Pradesh,23.48,493,0,493,2022-08-26,0.0,4,26,8,0,0,1,517,0,Andhra Pradesh,0.0,1,0.7142857142857143,7,493.0,0,0.0,0.0,medium,1,1,1.0,0.10526315789473684,19,168,,,,,,,,,,,,Andhra Pradesh,2752.0,0.5933866279069767,3.004360465116279,0.0,1.0,1.0
